path,duration_s,zcr,clipping_rate,silence_ratio,kurtosis,spectral_flatness,snr_db,c50_db,vad_ratio,language
data\audios\hindi\train-00003-of-00064\0250305a-5524-43ed-9bbc-d9e264f1ca25_1_chunk_13.flac,2.504,0.07690469175577164,0.0,0.14457831325301204,4.217006683349609,0.0008794074031761625,15.162240982055664,-19.647275924682617,0.7951807228915663,hindi
data\audios\hindi\train-00002-of-00064\7925f641-1fe6-4438-ab41-d2af94531e6b_0_chunk_5.flac,0.744,0.0880306139588356,0.0,0.041666666666666664,5.025294303894043,1.395244953966074e-05,12.133729934692383,-28.46558380126953,0.7916666666666666,hindi
data\audios\hindi\train-00002-of-00064\5348024557925462_chunk_17.flac,6.644,0.11939467489719391,0.0,0.12669683257918551,4.967226028442383,0.026713978399986044,20.260772705078125,-38.17428970336914,0.751131221719457,hindi
data\audios\hindi\train-00001-of-00064\2b4e04f6-f2a7-4a21-b034-8af9c0421ba5_0_chunk_6.flac,0.351,0.06054279953241348,0.0,0.36363636363636365,19.812490463256836,0.00024180859174016543,33.41059875488281,-26.195938110351562,0.6363636363636364,hindi
data\audios\hindi\train-00001-of-00064\5348024557874025_chunk_5.flac,16.097,0.08533208817243576,0.0,0.1287313432835821,6.229628562927246,0.018325829533964364,21.644580841064453,-73.25545501708984,0.7723880597014925,hindi
data\audios\hindi\train-00001-of-00064\5348024557931099_chunk_16.flac,6.976,0.07222753018140793,0.0,0.36637931034482757,10.305248260498047,0.012429570347761609,22.210447311401367,-23.639142990112305,0.6336206896551724,hindi
data\audios\hindi\train-00004-of-00064\79dc7309-4354-4e24-8c2a-3446e6740cd3_0_chunk_1.flac,1.501,0.0777035504579544,0.0,0.64,16.882503509521484,0.005248609287710804,58.892459869384766,-55.933074951171875,0.36,hindi
data\audios\hindi\train-00000-of-00064\ef3c56d2-acc9-41c7-8cf7-a0f53c040497_1_chunk_3.flac,2.186,0.04661041498184204,0.0,0.5277777777777778,16.39668083190918,0.3812353428392904,60.0,-126.81314086914062,0.4722222222222222,hindi
data\audios\hindi\train-00005-of-00064\ed396aec-1c7d-49bd-8322-57c71a668e0c_1_chunk_28.flac,3.373,0.10390881448984146,0.0,0.24107142857142858,8.02872371673584,0.001991878277990268,36.12055969238281,-18.225692749023438,0.7321428571428571,hindi
data\audios\hindi\train-00001-of-00064\03550bfe-f41d-49eb-afc7-75ef38c3f16b_1_chunk_4.flac,3.616,0.06643179804086685,0.0,0.26666666666666666,7.137768268585205,0.00949032298208521,27.998844146728516,-122.06832885742188,0.7333333333333333,hindi
data\audios\hindi\train-00002-of-00064\5348024557995987_chunk_1.flac,2.265,0.06544189155101776,0.0,0.013333333333333334,3.5840694904327393,0.009930960016599271,10.12265396118164,-16.946041107177734,0.7733333333333333,hindi
data\audios\hindi\train-00000-of-00064\5348024557900139_chunk_11.flac,5.921,0.11437215656042099,0.0,0.36548223350253806,6.1591477394104,0.036436964764367745,49.71364974975586,-56.238563537597656,0.6294416243654822,hindi
data\audios\hindi\train-00002-of-00064\5348024557921016_chunk_8.flac,5.695,0.08315383642911911,0.0,0.2857142857142857,3.714991331100464,0.010582926136098212,17.873493194580078,-37.23765563964844,0.7142857142857143,hindi
data\audios\hindi\train-00000-of-00064\5348024557887043_chunk_4.flac,22.816,0.1208411157131195,0.0,0.14868421052631578,8.457354545593262,0.023008276790508004,17.970823287963867,-28.364662170410156,0.75,hindi
