path,language,duration_s,clipping_rate,vad_ratio,snr_db,c50_db,spectral_flatness,zcr,kurtosis,soft_score,soft_score,soft_reject_reason
data\audios\hindi\train-00000-of-00064\153bf8fd-46d7-4c06-a883-58e30d6c2e71_0_chunk_16.flac,hindi,0.641,0.0,0.47619047619047616,18.546123504638672,-21.193952560424805,0.0002808448831138292,0.10557710379362106,11.42319393157959,0.4490404621780965,0.4490404621780965,soft_score=0.449 < threshold=0.5
data\audios\hindi\train-00000-of-00064\1e8ba254-5f39-4203-a1b3-8bf4745cfbef_0_chunk_1.flac,hindi,1.62,0.0,0.2962962962962963,35.87630844116211,-47.42070007324219,0.0041658066550323974,0.13844428956508636,12.767508506774902,0.4546603507352634,0.4546603507352634,soft_score=0.4547 < threshold=0.5
data\audios\hindi\train-00000-of-00064\0a138441-c76e-4d96-ae1a-7c33bcf3b775_1_chunk_10.flac,hindi,1.54,0.0,0.35294117647058826,22.821022033691406,-25.847637176513672,0.004971090302559566,0.04895820468664169,9.368578910827637,0.4141365642452353,0.4141365642452353,soft_score=0.4141 < threshold=0.5
data\audios\hindi\train-00000-of-00064\058d393a-c57f-405e-889f-439e825375ef_0_chunk_10.flac,hindi,1.024,0.0,0.29411764705882354,17.484134674072266,-22.428871154785156,0.0008249782277849832,0.048507917672395706,17.26587677001953,0.33260790508759824,0.33260790508759824,soft_score=0.3326 < threshold=0.5
data\audios\hindi\train-00000-of-00064\035643bb-6172-466e-ba82-2eb0a80dba45_0_chunk_15.flac,hindi,0.65,0.0,0.38095238095238093,12.36761474609375,-22.417015075683594,0.0005359874508313898,0.03519236668944359,3.912914991378784,0.3595799008338735,0.3595799008338735,soft_score=0.3596 < threshold=0.5
data\audios\hindi\train-00000-of-00064\332b9e4a-67a5-4109-942a-39179e96f091_0_chunk_6.flac,hindi,1.598,0.0,0.33962264150943394,30.92683982849121,-34.35921096801758,0.002063309615456096,0.06584078073501587,10.123076438903809,0.46104062774840887,0.46104062774840887,soft_score=0.461 < threshold=0.5
data\audios\hindi\train-00000-of-00064\332b9e4a-67a5-4109-942a-39179e96f091_0_chunk_5.flac,hindi,3.041,0.0,0.42574257425742573,27.63442039489746,-25.82251739501953,0.0017317611350248006,0.05245044454932213,8.070923805236816,0.49549811099772745,0.49549811099772745,soft_score=0.4955 < threshold=0.5
data\audios\hindi\train-00000-of-00064\35f9cf14-dbf9-4101-9aa9-ed865fed091e_0_chunk_20.flac,hindi,0.542,0.0,0.4444444444444444,14.8634033203125,-11.713459014892578,0.000258718830756567,0.1060078889131546,3.5700440406799316,0.4161738873923731,0.4161738873923731,soft_score=0.4162 < threshold=0.5
data\audios\hindi\train-00000-of-00064\42b24017-2156-4652-837c-1f4db7edafd5_0_chunk_12.flac,hindi,0.504,0.0,0.4375,20.382705688476562,-54.37396240234375,0.004292681881612906,0.0928366407752037,13.984880447387695,0.4171661965402098,0.4171661965402098,soft_score=0.4172 < threshold=0.5
data\audios\hindi\train-00000-of-00064\42b24017-2156-4652-837c-1f4db7edafd5_0_chunk_21.flac,hindi,0.352,0.0,0.45454545454545453,23.12349510192871,-23.557113647460938,0.0006630506017514184,0.14623266458511353,6.564258575439453,0.4708493470304631,0.4708493470304631,soft_score=0.4708 < threshold=0.5
data\audios\hindi\train-00000-of-00064\51dbb5c7-6517-4beb-beb4-f017686f5476_0_chunk_12.flac,hindi,3.449,0.0,0.43859649122807015,24.3869686126709,-30.96105194091797,0.0016477707061290355,0.06751089543104172,10.558886528015137,0.4704597428718683,0.4704597428718683,soft_score=0.4705 < threshold=0.5
data\audios\hindi\train-00000-of-00064\51dbb5c7-6517-4beb-beb4-f017686f5476_0_chunk_11.flac,hindi,3.808,0.0,0.30952380952380953,32.061981201171875,-23.813188552856445,0.0022209143950740907,0.06622593849897385,15.375907897949219,0.4534266558395452,0.4534266558395452,soft_score=0.4534 < threshold=0.5
data\audios\hindi\train-00000-of-00064\51dbb5c7-6517-4beb-beb4-f017686f5476_0_chunk_18.flac,hindi,1.555,0.0,0.37254901960784315,28.284393310546875,-22.182798385620117,0.002407522791213445,0.08676164597272873,5.426220893859863,0.4706163030972588,0.4706163030972588,soft_score=0.4706 < threshold=0.5
data\audios\hindi\train-00000-of-00064\5348024557599003_chunk_1.flac,hindi,2.078,0.0,0.5362318840579711,18.71595001220703,-11.48853874206543,0.046680874475795935,0.28165560960769653,15.440694808959961,0.465658876014548,0.465658876014548,soft_score=0.4657 < threshold=0.5
data\audios\hindi\train-00000-of-00064\5348024557551133_chunk_1.flac,hindi,8.512,0.0,0.568904593639576,16.117677688598633,-24.47182846069336,0.035907788692760574,0.10134851187467575,9.4003267288208,0.4825340273622012,0.4825340273622012,soft_score=0.4825 < threshold=0.5
data\audios\hindi\train-00000-of-00064\5348024557840044_chunk_1.flac,hindi,7.057,0.0,0.502127659574468,24.728334426879883,-47.59599685668945,0.03427497031648047,0.15821969509124756,23.72439956665039,0.47386875067888984,0.47386875067888984,soft_score=0.4739 < threshold=0.5
data\audios\hindi\train-00000-of-00064\5348024557840054_chunk_3.flac,hindi,3.027,0.0,0.41,30.160932540893555,-43.19047927856445,0.09435907910582454,0.14947807788848877,18.379005432128906,0.4661716169442504,0.4661716169442504,soft_score=0.4662 < threshold=0.5
data\audios\hindi\train-00000-of-00064\5348024557844551_chunk_1.flac,hindi,0.81,0.0,0.5925925925925926,18.831218719482422,-26.036985397338867,0.051044873580565336,0.22469653189182281,15.097146034240723,0.4963132318052086,0.4963132318052086,soft_score=0.4963 < threshold=0.5
